"artist","title","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","valence","label"
"Alan Silvestri","We're Out Of Gas","0.879","0.231","0.0952","0.318","5","0.107","-21.06","0","0.0516","110.062","0.2","1"
"The Germs","Forming","0.0635","0.395","0.94","1.21E-4","6","0.111","-6.295","1","0.0533","133.099","0.528","0"
"Roy Buchanan","Hey Joe","0.718","0.374","0.661","0.247","4","0.766","-10.511","0","0.19","119.633","0.58","0"
"Christian Quast","Jugglin' Clown","0.00494","0.806","0.733","0.806","10","0.422","-15.062","0","0.0682","127.002","0.342","0"
"Moss","There Alone Go I","0.944","0.232","0.249","0.0168","0","0.104","-13.109","1","0.0329","163.456","0.142","0"
"Scar Symmetry","The Illusionist","5.58E-5","0.404","0.964","0.0012","2","0.137","-3.668","1","0.062","75.008","0.404","0"
"Los Chunguitos","Por La Calle Abajo","0.266","0.679","0.812","0.0","5","0.117","-5.579","1","0.0395","77.114","0.882","0"
"Kent","Ingenting","3.96E-5","0.627","0.825","0.0175","9","0.193","-7.0","0","0.0335","120.032","0.463","0"
"Xzibit","Carry The Weight","0.205","0.553","0.48","6.34E-6","10","0.14","-10.979","1","0.491","91.331","0.561","0"
"Rockabye Baby!","You Still Believe in Me","0.637","0.516","0.524","0.929","11","0.0941","-9.478","1","0.0375","74.863","0.518","1"
"Renee Rosnes","Children's Song No. 3","0.902","0.395","0.277","0.911","7","0.119","-20.163","1","0.0282","108.999","0.341","0"
"Hall & Oates","Fall in Philadelphia","0.556","0.585","0.685","8.69E-5","7","0.134","-9.411","1","0.0402","141.583","0.799","1"
"Shadows Fall","Crushing Belial","5.17E-4","0.291","0.88","0.0169","2","0.103","-7.783","0","0.054","97.103","0.331","0"
"Intars Busulis","???????","0.476","0.538","0.399","0.0","11","0.104","-7.405","0","0.0322","130.028","0.337","0"
"Mariah Carey","Anytime You Need A Friend","0.469","0.57","0.549","7.91E-6","9","0.0715","-7.956","0","0.0312","136.13","0.295","1"
"Little Milton","Little Bluebird","0.134","0.448","0.273","1.52E-6","10","0.107","-15.682","1","0.0404","173.424","0.351","1"
"Christos Dantis","Pai Keros","0.643","0.527","0.286","0.0","11","0.178","-11.369","0","0.0316","66.043","0.113","0"
"Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge","Joy To The World","0.983","0.251","0.0755","0.00128","1","0.12","-21.111","1","0.0445","96.176","0.182","1"
"Twin Atlantic","What Is Light? Where Is Laughter? (Acoustic Version)","0.323","0.566","0.307","0.0","9","0.133","-5.421","1","0.0463","141.802","0.478","0"
"Johnny Osbourne","Come ALong","0.0464","0.748","0.43","0.0","6","0.172","-7.489","0","0.0987","135.309","0.647","1"
"Junie","Rappin' About Rappin' (Uh-Uh-Uh)","0.12","0.798","0.634","0.0103","6","0.144","-9.128","0","0.0654","102.738","0.923","0"
"Photo Atlas","Red Orange Yellow","1.4E-4","0.261","0.853","2.85E-5","9","0.112","-5.34","1","0.0715","167.796","0.449","0"
"Rita Chiarelli","This Is My Life","0.0027","0.403","0.506","0.0","7","0.0854","-11.785","0","0.0342","179.685","0.549","1"
"Ya Boy","How U Want It?","0.0354","0.761","0.545","1.4E-5","1","0.301","-10.819","0","0.203","98.12","0.599","1"
"Jack Off Jill","Yellow Brick Road","0.00143","0.358","0.909","0.0665","11","0.289","-4.923","0","0.111","154.74","0.43","0"
"Willie Clancy","Air: My Lagan Love","0.984","0.138","0.224","0.913","7","0.12","-8.349","1","0.0404","67.454","0.238","0"
