"artist","title","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","valence","label"
"Casual","I Didn't Mean To","0.063","0.751","0.549","2.47E-5","6","0.106","-10.508","0","0.429","92.224","0.553","0"
"The Box Tops","Soul Deep","0.195","0.749","0.53","3.53E-5","9","0.0748","-12.94","1","0.0326","121.395","0.966","1"
"Sonora Santanera","Amor De Cabaret","0.477","0.496","0.421","0.0481","10","0.103","-5.659","1","0.027","95.322","0.314","0"
"Adam Ant","Something Girls","0.218","0.606","0.937","0.00587","0","0.163","-3.808","1","0.0443","120.135","0.853","0"
"Gob","Face the Ashes","3.56E-4","0.525","0.918","0.566","2","0.0904","-4.512","1","0.0543","129.727","0.655","0"
"Jeff And Sheri Easter","The Moon And I (Ordinary Day Album Version)","0.706","0.456","0.472","4.93E-6","5","0.0833","-8.328","1","0.0325","147.565","0.286","0"
"Rated R","Keepin It Real (Skit)","0.813","0.677","0.183","0.0","1","0.26","-16.059","1","0.926","87.661","0.744","0"
"Tweeterfriendly Music","Drop of Rain","0.553","0.498","0.3","1.16E-4","7","0.0963","-10.716","1","0.0352","100.315","0.185","0"
"Planet P Project","Pink World","0.133","0.332","0.834","3.77E-5","4","0.479","-5.312","0","0.0467","104.953","0.327","0"
"JennyAnyKind","Young Boy Blues","5.54E-5","0.458","0.57","7.68E-4","5","0.0988","-9.159","0","0.0495","146.609","0.203","0"
"Andy Andy","La Culpa","0.111","0.756","0.533","1.03E-4","1","0.0709","-7.128","0","0.178","176.042","0.874","0"
"Bob Azzam","Auguri Cha Cha","0.268","0.699","0.44","3.3E-4","6","0.294","-12.359","1","0.033","137.358","0.909","0"
"Lionel Richie","Tonight Will Be Alright","0.0672","0.651","0.816","0.00548","8","0.0524","-8.24","1","0.0279","125.199","0.72","1"
"Blue Rodeo","Floating","0.496","0.735","0.577","0.0401","7","0.344","-7.233","1","0.0267","118.243","0.834","0"
"Richard Souther","High Tide","0.114","0.647","0.411","0.509","8","0.0428","-16.578","1","0.0415","95.807","0.64","0"
"Faiz Ali Faiz","Sohna Nee Sohna Data","0.308","0.569","0.876","0.152","6","0.472","-6.505","1","0.0426","99.325","0.931","0"
"Tesla","Caught In A Dream","2.96E-4","0.56","0.678","0.00356","7","0.0606","-5.141","1","0.0259","150.124","0.319","0"
"lextrical","Synthetic Dream","0.621","0.583","0.589","0.89","0","0.139","-6.856","1","0.0298","138.339","0.277","0"
"Jimmy Wakely","Broken-Down Merry-Go-Round","0.791","0.591","0.19","0.0","1","0.12","-12.696","1","0.028","85.961","0.561","1"
"Alice Stuart","Kassie Jones","0.511","0.581","0.413","2.72E-4","11","0.188","-6.546","1","0.0325","110.222","0.527","0"
"Elena","Setanta matins","0.664","0.537","0.367","0.0455","2","0.0738","-6.547","1","0.0336","142.016","0.347","0"
"The Dillinger Escape Plan","Setting Fire to Sleeping Giants","0.0093","0.413","0.992","5.62E-4","9","0.232","-3.923","0","0.375","166.906","0.29","1"
"SUE THOMPSON","James (Hold The Ladder Steady)","0.808","0.74","0.571","0.0","10","0.112","-9.961","1","0.0361","138.06","0.962","1"
"Five Bolt Main","Made Like This (Live)","0.00287","0.197","0.988","6.89E-5","7","0.941","-5.486","1","0.28","162.367","0.108","0"
"Clp","Superconfidential","0.235","0.839","0.865","0.0","1","0.106","-6.563","1","0.0519","117.981","0.711","0"
"Tim Wilson","I Think My Wife Is Running Around On Me (Taco Hell)","0.566","0.624","0.88","0.0","5","0.327","-3.152","1","0.0476","135.019","0.709","0"
"Willie Bobo","Spanish Grease","0.258","0.795","0.569","5.78E-6","3","0.277","-10.72","1","0.0346","127.259","0.862","0"
"Terry Callier","Do You Finally Need A Friend","0.787","0.353","0.287","0.0","11","0.105","-11.164","1","0.0304","110.011","0.187","0"
"John Wesley","The Emperor Falls","2.34E-5","0.499","0.566","0.233","4","0.106","-15.365","0","0.0327","137.978","0.588","0"
"The Shangri-Las","Twist and Shout","0.443","0.562","0.916","0.0","5","0.903","-8.781","1","0.27","128.938","0.709","1"
"Billie Jo Spears","It Makes No Difference Now","0.264","0.562","0.409","0.0","4","0.16","-16.625","1","0.0324","80.409","0.929","1"
"Butthole Surfers","Barking Dogs (From ""Piouhgd"")","0.0437","0.21","0.897","0.681","2","0.362","-8.898","0","0.085","130.473","0.121","0"
"Despina Vandi","OUTE ENA EFHARISTO","0.732","0.495","0.634","1.26E-4","8","0.108","-6.933","0","0.0955","87.446","0.344","0"
"Jacob Young","In A Subtle Way","0.797","0.532","0.174","0.841","6","0.108","-19.861","1","0.0382","90.0","0.628","0"
"Scarlet's Remains","Spin","6.49E-6","0.213","0.867","0.678","7","0.181","-6.987","1","0.0848","95.178","0.247","0"
"The Suicide Machines","Burning In The Aftermath","0.00138","0.464","0.999","0.0","2","0.285","-2.242","1","0.156","115.807","0.148","0"
"Roberto Torres","Sabor Guajiro","0.607","0.763","0.496","0.0","0","0.102","-11.214","1","0.0421","117.551","0.962","0"
"Loudon Wainwright III","Human Cannonball","0.807","0.503","0.182","3.8E-5","3","0.0923","-14.824","1","0.0302","102.748","0.293","0"
"R.L. Burnside","Glory Be","0.0197","0.749","0.705","0.139","2","0.172","-7.062","1","0.0303","89.992","0.727","1"
"Stevie Ray Vaughan","Crossfire","0.037","0.477","0.715","0.00852","8","0.0991","-7.81","1","0.0329","116.102","0.891","0"
"John Hammond","I Can't Be Satisfied","0.422","0.651","0.528","0.015","0","0.344","-11.555","1","0.04","123.266","0.908","0"
"Casiotone For The Painfully Alone","Nashville Parthenon","0.00189","0.816","0.42","0.686","0","0.059","-10.829","1","0.109","141.953","0.852","1"
"Ec8or","Cocain Ducks","0.0205","0.46","0.847","0.105","6","0.385","-9.548","1","0.153","95.444","0.174","0"
"The New York Dolls","Human Being","8.79E-5","0.255","0.9","0.0319","4","0.972","-5.978","1","0.0767","161.703","0.465","1"
"Lost Boyz","Certain Things We Do","0.0112","0.693","0.548","0.0","9","0.0748","-11.17","1","0.2","90.244","0.74","0"
"The Germs","Forming","0.0635","0.395","0.94","1.21E-4","6","0.111","-6.295","1","0.0533","133.099","0.528","0"
"Chris Rea","Driving Home For Christmas","0.328","0.497","0.661","3.17E-4","9","0.211","-9.047","1","0.0361","180.225","0.894","0"
"Perrey And Kingsley","Spooks In Space","0.724","0.833","0.874","0.0327","8","0.211","-10.585","1","0.322","102.294","0.205","1"
"Francis Dunnery","Too Much Saturn","0.249","0.575","0.825","0.0","10","0.317","-5.622","1","0.0634","129.82","0.908","1"
"Suzanne Ciani","Stream","0.769","0.258","0.423","0.944","7","0.709","-13.771","1","0.0388","104.3","0.286","0"
"Vickie Winans","Make Me Over","0.147","0.794","0.753","0.0","11","0.0666","-8.927","0","0.0799","107.988","0.689","0"
"The Berzerker","Deform (live)","0.00126","0.273","0.996","0.0157","2","0.309","-6.068","1","0.399","114.835","0.0492","0"
"Kings Of Leon","Wicker Chair","0.0592","0.645","0.704","0.0","0","0.17","-5.437","1","0.0309","116.818","0.475","0"
"Edith Lefel","An ti chans'","0.0624","0.66","0.949","0.0943","0","0.213","-4.741","1","0.0458","102.005","0.911","0"
"Taras","I Will Love Again (JJ's Club Radio)","1.23E-4","0.606","0.887","9.08E-4","3","0.352","-6.512","0","0.0291","127.996","0.757","0"
"NOFX","Stickin In My Eye","0.0011","0.299","0.97","0.00752","9","0.0994","-7.494","1","0.0799","153.528","0.232","0"
"Murskahumppa","Ota kiinni","5.34E-4","0.254","0.614","2.53E-6","7","0.0865","-7.642","1","0.0373","127.527","0.287","0"
"Xcultures","Sudanese Dance","0.00503","0.671","0.802","0.0946","1","0.0879","-6.947","1","0.0378","124.975","0.827","0"
"White Heart","Where The Thunder Roars (Tales Of Wonder Album Version)","0.056","0.695","0.666","9.36E-4","5","0.0752","-10.989","1","0.0691","113.284","0.362","0"
"Heavy D / McGruff","Wanna Be A Player","0.0719","0.838","0.742","0.0","6","0.269","-9.032","0","0.305","97.013","0.719","0"
"Black Eyed Peas","Let's Get It Started","0.103","0.785","0.794","0.0","2","0.196","-2.197","1","0.113","105.0","0.783","1"
"Nine Inch Nails","Metal","0.14","0.662","0.35","0.84","5","0.117","-13.381","1","0.033","126.086","0.0393","0"
"Nadine Renee","Next Time","0.265","0.596","0.591","0.0","2","0.0974","-6.86","1","0.034","84.031","0.28","0"
"Lesley Gore","It's My Party","0.346","0.692","0.494","0.0","9","0.0446","-11.662","1","0.0635","128.487","0.961","1"
"Smartbomb","Complicate It","0.00179","0.57","0.943","7.24E-6","0","0.296","-2.802","1","0.0687","132.049","0.813","0"
"Suburbs","Monde De Fou","0.0241","0.481","0.916","9.97E-5","1","0.057","-4.349","1","0.0449","183.701","0.853","0"
"Julien Clerc","This Melody (Live)","0.309","0.633","0.489","0.0","7","0.948","-10.798","1","0.0336","112.699","0.502","0"
"Glen Campbell","I'm Gone This Time","0.105","0.655","0.686","0.0","9","0.139","-10.978","1","0.0368","137.42","0.666","0"
"T.G. Sheppard","You Feel Good All Over","0.758","0.622","0.3","1.27E-4","5","0.332","-12.789","1","0.0259","82.02","0.34","0"
"Slim Whitman","Indian Love Call","0.97","0.242","0.261","2.53E-4","3","0.1","-7.895","1","0.0335","203.913","0.386","0"
"Savage Garden","You Can Still Be Free","0.241","0.457","0.357","6.79E-5","0","0.0625","-12.636","1","0.0326","118.029","0.0396","1"
"Queens Of The Stone Age","I Never Came","0.0589","0.572","0.517","0.0676","2","0.0776","-7.834","1","0.0277","115.44","0.493","0"
"Hank Penny & The Lincoln Penny Orchestra","Dixie","0.521","0.573","0.303","0.132","6","0.0628","-15.125","0","0.0515","121.268","0.66","0"
"Inspiral Carpets","Commercial Reign","1.98E-4","0.506","0.902","0.156","9","0.251","-4.705","1","0.0458","113.618","0.764","0"
"Borialis","Hourglass","1.45E-4","0.485","0.94","0.0","2","0.175","-5.674","1","0.0507","87.092","0.714","0"
"The Dirty Skirts","Wake","0.0369","0.531","0.933","0.00711","0","0.339","-4.56","1","0.0395","141.889","0.555","1"
"Flor Silvestre","Caricia Y Herida","0.849","0.756","0.49","0.00146","4","0.194","-7.115","1","0.0297","106.18","0.897","0"
"Redman","WKYA (drop)","0.321","0.588","0.649","0.0","1","0.299","-9.808","0","0.484","85.02","0.886","0"
"Eddie Cantor","Now's The Time To Fall In Love","0.941","0.629","0.537","0.0","10","0.314","-15.525","1","0.948","135.85","0.722","1"
"Schizoid","Grim Prospects (Gross Prospects - Bad Trip Remix)","0.325","0.242","0.999","0.0","9","0.842","-1.457","1","0.559","205.362","0.0376","0"
"Kai Winding","Mangos","0.622","0.862","0.469","0.00719","0","0.104","-14.902","1","0.0448","112.311","0.686","0"
"Sonny Simmons","A Distant Voice","0.823","0.282","0.011","0.11","0","0.0685","-17.782","1","0.0447","138.701","0.0791","1"
"Mira","Openbare Weg","0.93","0.591","0.342","2.39E-5","4","0.0968","-8.3","1","0.0319","84.678","0.179","0"
"Citizen Kaned","President Johnson","0.00608","0.756","0.804","0.761","11","0.526","-8.371","1","0.131","108.056","0.332","0"
"Ellen McIlwaine","Spontanous Combustion","0.0773","0.806","0.66","0.0101","7","0.0377","-10.982","1","0.153","102.626","0.933","0"
"Vince Guaraldi / Bola Sete","Choro","0.841","0.428","0.409","0.311","0","0.132","-14.467","0","0.0437","84.036","0.812","0"
"Maurice Chevalier","Ma Louise","0.786","0.452","0.28","0.0","3","0.118","-14.106","1","0.0408","120.32","0.487","0"
